Year,Start_temp,Finish_temp,Wind_direction,Wind_speed,Wind_effect,Sky
2000,50,47,N/NE,9.5,-9.5,Cloudy
2001,53,54,N/NE,3,-3,Cloudy
2002,53,56,N/NE,3,-3,Cloudy
2003,70,59,Variable,5.5,0,Clear
2004,83,86,WSW/SW/W,9.5,9.5,Clear
2005,70,66,E/NE,6.5,-6.5,Clear
2006,55,53,Calm,,0,Clear
2007,47,50,E/ESE,15,-11.25,Rain
2008,53,53,W,2,2,Clear
2009,51,47,E/SE,12.5,-9.375,Cloudy
2010,49,55,E/NE,3.5,-3.5,Cloudy
2011,46,55,W/SW,18,18,Clear
2012,65,87,W/SW,15,15,Clear
2013,56,54,E,3,-2.25,Clear
2014,61,62,WSW,2.5,2.5,Clear
2015,46,46,Calm,,0,Rain
2016,71,61,WSW,2.5,2.5,Clear
2017,70,73,WSW,2,2,Clear
2018,42,46,ENE,1.5,-1.5,Rain
